id,text,font,split,blur,bold,char_jitter,dots,easy_line,hard_line,italic,rotation,salt_pepper,spacing_jitter,two_lines,wave,wavy_line
0,wqnhi,arvo,train,0,0,1,1,0,0,0,0,0,0,0,0,0
1,mntya,courier_prime,train,1,1,0,0,0,0,0,1,0,1,0,1,0
2,vgchk,roboto,train,0,0,1,1,0,0,1,1,1,1,0,0,0
3,vcege,roboto,train,1,1,1,0,0,0,0,1,1,0,0,1,1
4,sywny,ubuntu,train,1,0,1,1,0,0,0,1,0,1,0,0,0
5,ruavm,oswald,train,1,0,1,1,0,0,1,1,1,1,0,1,0
6,lnniy,noto_sans,train,0,1,1,1,0,0,0,1,0,0,0,0,1
7,yqrxp,raleway,train,0,1,1,1,0,1,0,0,1,1,0,1,0
8,sigze,merriweather,val,1,1,1,0,0,0,1,1,1,1,0,0,1
9,kwyhc,pt_mono,test,0,1,1,0,0,0,1,0,0,0,0,0,1
10,uygfu,roboto,train,1,0,1,1,0,0,1,0,0,0,0,0,0
11,ddump,pt_mono,train,0,0,0,1,1,0,0,1,1,1,0,1,0
12,pgzyb,inconsolata,train,1,0,1,1,0,1,0,1,0,1,0,1,0
13,xwvwb,roboto,train,0,0,1,1,0,1,0,1,0,1,0,1,0
14,dvqjc,quicksand,train,0,0,1,0,0,0,1,0,0,0,0,0,0
15,yssvg,merriweather,train,1,0,0,1,0,0,1,1,0,0,0,0,0
16,oovlt,cabin,train,1,0,1,1,0,0,1,0,0,0,0,0,1
17,tvcel,playfair_display,train,1,1,1,1,0,1,0,0,1,0,0,1,0
18,xkfsw,libre_baskerville,val,0,1,0,1,0,0,1,0,0,0,1,0,0
19,pkjyj,libre_baskerville,test,0,0,1,1,0,0,1,0,0,1,0,1,0
20,xhglx,courier_prime,train,1,1,1,0,0,0,0,0,1,1,0,1,0
21,hukpm,quicksand,train,0,0,0,1,0,0,0,1,1,1,0,0,1
22,ujrfy,cabin,train,0,0,1,0,0,0,1,0,0,1,0,1,0
23,askqg,courier_prime,train,0,1,1,1,0,0,0,1,1,1,1,0,0
24,jitku,playfair_display,train,0,0,1,0,0,0,0,1,0,0,0,0,0
25,newag,lato,train,1,1,0,1,0,0,1,0,0,1,0,1,0
26,wmogk,cabin,train,0,1,1,0,0,0,0,1,0,0,0,0,0
27,asfiz,courier_prime,train,0,0,0,1,0,0,1,1,1,0,1,0,0
28,rwfxv,raleway,val,1,0,0,1,0,0,0,0,0,1,0,1,1
29,ybpnf,oswald,test,1,1,0,1,0,0,1,1,1,0,0,1,0
30,cgtlk,cabin,train,0,0,0,0,0,1,1,1,1,1,0,0,0
31,oxmbo,pt_serif,train,1,1,0,1,0,0,0,1,1,0,0,0,0
32,wewol,noto_sans,train,0,1,0,1,0,0,0,0,0,0,0,0,1
33,wljov,source_code_pro,train,1,0,1,1,0,0,1,0,0,1,1,0,0
34,badwc,lato,train,0,0,0,0,0,0,0,0,0,0,0,1,0
35,civly,source_code_pro,train,1,0,1,0,0,0,0,0,1,0,0,1,0
36,jelkl,roboto_mono,train,0,1,0,1,1,0,1,0,0,0,0,0,0
37,esqrg,cabin,train,1,1,0,0,0,0,1,1,0,1,0,1,0
38,gmigk,quicksand,val,1,1,0,0,1,0,1,1,0,0,0,0,0
39,zngot,courier_prime,test,0,0,0,1,0,0,0,1,1,1,0,0,0
40,osasl,source_code_pro,train,0,0,0,1,0,0,0,1,1,1,0,0,1
41,ryvts,courier_prime,train,1,0,0,0,0,0,1,0,0,1,0,0,0
42,curll,roboto_mono,train,0,1,0,0,1,0,1,0,0,0,0,1,0
43,nqkbp,arvo,train,1,1,0,0,0,0,1,1,0,1,0,0,0
44,rdvgr,nunito,train,0,0,1,0,0,0,0,1,1,0,0,1,0
45,yotnn,raleway,train,0,0,0,0,0,0,1,0,0,0,0,0,0
46,nxfco,libre_baskerville,train,1,0,1,0,0,0,0,0,0,0,0,0,0
47,ctotl,open_sans,train,1,1,0,1,0,0,0,0,1,0,0,0,0
48,dkmpr,oswald,val,0,1,1,0,0,1,0,0,0,1,0,0,0
49,bjwpb,noto_sans,test,1,1,0,0,0,0,0,0,0,1,0,0,0
